Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,3746.713379,3850.913818,3707.231201,3843.520020,3843.520020,4324200990
2019-01-02,3849.216309,3947.981201,3817.409424,3943.409424,3943.409424,5244856835
2019-01-03,3931.048584,3935.685059,3826.222900,3836.741211,3836.741211,4530215218
2019-01-04,3832.040039,3865.934570,3783.853760,3857.717529,3857.717529,4847965467
2019-01-05,3851.973877,3904.903076,3836.900146,3845.194580,3845.194580,5137609823
2019-01-06,3836.519043,4093.297363,3826.513184,4076.632568,4076.632568,5597027439
2019-01-07,4078.584961,4092.613525,4020.894043,4025.248291,4025.248291,5228625637
2019-01-08,4028.472168,4109.020996,3996.955322,4030.847900,4030.847900,5306593305
2019-01-09,4031.552002,4068.403564,4022.662842,4035.296387,4035.296387,5115905224
2019-01-10,4034.411377,4064.066650,3659.174561,3678.924561,3678.924561,6874143795
2019-01-11,3674.015381,3713.881836,3653.069824,3687.365479,3687.365479,5538712864
2019-01-12,3686.973145,3698.978271,3653.810791,3661.301025,3661.301025,4778170882
2019-01-13,3658.868164,3674.760010,3544.927246,3552.953125,3552.953125,4681302465
2019-01-14,3557.311035,3727.836182,3552.285156,3706.052246,3706.052246,5651384489
2019-01-15,3704.216309,3720.153320,3619.949219,3630.675293,3630.675293,5537192301
2019-01-16,3631.509766,3685.777100,3624.673340,3655.006836,3655.006836,5394457144
2019-01-17,3651.871094,3680.135986,3621.960938,3678.563965,3678.563965,5464420383
2019-01-18,3677.990479,3682.520020,3637.080811,3657.839355,3657.839355,5002961726
2019-01-19,3652.377930,3758.533447,3652.377930,3728.568359,3728.568359,5955691379
2019-01-20,3725.446045,3743.387939,3583.019531,3601.013672,3601.013672,5582489559
2019-01-21,3600.372803,3608.840820,3558.537109,3576.032471,3576.032471,5004347059
2019-01-22,3575.081299,3620.746582,3539.721436,3604.577148,3604.577148,5313623556
2019-01-23,3605.557129,3623.067871,3565.313965,3585.123047,3585.123047,5433755648
2019-01-24,3584.500244,3616.087402,3569.092773,3600.865479,3600.865479,5262869046
2019-01-25,3607.390381,3612.927734,3575.597412,3599.765869,3599.765869,5265847538
2019-01-26,3599.715332,3654.933105,3593.345947,3602.460449,3602.460449,5098183234
2019-01-27,3604.687256,3612.671387,3567.245850,3583.965820,3583.965820,5570752966
2019-01-28,3584.283203,3586.750977,3439.232910,3470.450439,3470.450439,6908930483
2019-01-29,3468.870117,3476.065430,3400.819824,3448.116943,3448.116943,5897159492
2019-01-30,3443.896973,3495.174805,3429.387939,3486.181641,3486.181641,5955112626
2019-01-31,3485.409180,3504.804932,3447.915771,3457.792725,3457.792725,5831198270
2019-02-01,3460.547119,3501.954102,3431.591553,3487.945313,3487.945313,5422926707
2019-02-02,3484.625977,3523.287354,3467.574707,3521.060791,3521.060791,5071623600
2019-02-03,3516.139648,3521.388184,3447.924316,3464.013428,3464.013428,5043937583
2019-02-04,3467.211670,3476.223877,3442.586914,3459.154053,3459.154053,5332718886
2019-02-05,3454.950928,3478.148193,3451.937012,3466.357422,3466.357422,5227549544
2019-02-06,3469.091797,3469.091797,3398.565430,3413.767822,3413.767822,5482196037
2019-02-07,3414.929443,3427.945557,3394.218506,3399.471680,3399.471680,5004962682
2019-02-08,3401.376465,3695.614014,3391.023682,3666.780273,3666.780273,7735623101
2019-02-09,3671.585938,3679.941406,3646.559326,3671.203613,3671.203613,6158833644
2019-02-10,3673.201416,3695.036133,3640.979980,3690.188232,3690.188232,6282256902
2019-02-11,3695.613037,3695.613037,3642.287842,3648.430664,3648.430664,6277056433
2019-02-12,3642.751953,3668.586914,3618.556885,3653.528564,3653.528564,6480384531
2019-02-13,3653.604004,3669.746582,3617.246338,3632.070557,3632.070557,6438903822
2019-02-14,3631.170166,3646.256592,3607.697754,3616.880859,3616.880859,6271044417
2019-02-15,3617.368408,3647.795166,3608.206543,3620.810791,3620.810791,6091952230
2019-02-16,3615.270264,3652.841309,3615.270264,3629.787598,3629.787598,5934744051
2019-02-17,3633.359375,3680.537354,3619.182129,3673.836182,3673.836182,7039512502
2019-02-18,3671.369873,3936.665039,3669.982422,3915.714355,3915.714355,9908216640
2019-02-19,3911.661621,4010.879395,3908.153076,3947.094482,3947.094482,9933626654
2019-02-20,3946.685059,4000.486328,3926.246826,3999.820557,3999.820557,8693373948
2019-02-21,4000.256836,4010.009521,3940.108154,3954.118164,3954.118164,7775128102
2019-02-22,3952.406494,4006.538330,3950.816406,4005.526611,4005.526611,7826525254
2019-02-23,3998.916260,4166.286133,3968.726807,4142.526855,4142.526855,8922258315
2019-02-24,4145.458008,4210.641602,3793.708984,3810.427490,3810.427490,10794227451
2019-02-25,3807.002441,3913.707275,3807.002441,3882.696289,3882.696289,9318796066
2019-02-26,3878.697266,3891.578857,3837.986328,3854.357910,3854.357910,7931218996
2019-02-27,3857.479736,3888.802490,3787.058838,3851.047363,3851.047363,8301309684
2019-02-28,3848.261963,3906.058350,3845.821289,3854.785400,3854.785400,8399767798
2019-03-01,3853.757080,3907.795410,3851.692383,3859.583740,3859.583740,7661247975
2019-03-02,3855.318115,3874.607422,3832.127930,3864.415039,3864.415039,7578786075
2019-03-03,3862.266113,3875.483643,3836.905762,3847.175781,3847.175781,7253558152
2019-03-04,3845.091553,3867.381836,3733.749756,3761.557129,3761.557129,9029175787
2019-03-05,3759.832520,3903.916748,3745.183105,3896.375000,3896.375000,10174126414
2019-03-06,3897.081055,3919.510498,3871.460693,3903.942627,3903.942627,9175291528
2019-03-07,3903.384766,3939.373291,3894.113037,3911.484375,3911.484375,9584165518
2019-03-08,3913.225830,3950.432129,3875.228516,3901.131592,3901.131592,10638638944
2019-03-09,3894.552490,3987.237793,3892.390381,3963.313721,3963.313721,10796103518
2019-03-10,3966.174316,3966.174316,3924.381104,3951.599854,3951.599854,9713267606
2019-03-11,3953.740234,3966.384766,3889.239014,3905.227295,3905.227295,10125901902
2019-03-12,3903.758301,3926.889160,3863.559082,3909.156250,3909.156250,9809887079
2019-03-13,3913.047363,3926.597656,3891.904297,3906.717285,3906.717285,9469184841
2019-03-14,3905.576904,3946.504395,3901.296875,3924.369141,3924.369141,10480789569
2019-03-15,3926.663330,3968.542969,3914.015381,3960.911133,3960.911133,9394210604
2019-03-16,3963.900146,4077.036377,3961.657471,4048.725830,4048.725830,9856166973
2019-03-17,4047.719482,4054.122070,4006.411133,4025.229004,4025.229004,8221625399
2019-03-18,4029.968506,4071.556641,4009.117188,4032.507324,4032.507324,9646954186
2019-03-19,4032.691895,4082.216064,4023.812500,4071.190186,4071.190186,9344919956
2019-03-20,4070.793945,4089.461914,4031.110840,4087.476318,4087.476318,10175916388
2019-03-21,4083.953857,4097.359863,4005.151367,4029.326904,4029.326904,10831212661
2019-03-22,4028.514648,4053.906738,4021.542480,4023.968262,4023.968262,9252935969
2019-03-23,4022.713379,4049.882568,4015.964600,4035.826416,4035.826416,9578850549
2019-03-24,4035.163574,4040.699707,4006.192871,4022.168213,4022.168213,9144851064
2019-03-25,4024.112793,4038.840820,3934.031250,3963.070557,3963.070557,10359818882
2019-03-26,3969.228760,3985.080811,3944.753174,3985.080811,3985.080811,10707678814
2019-03-27,3984.244873,4087.066162,3977.810547,4087.066162,4087.066162,10897131934
2019-03-28,4087.584473,4094.902100,4040.266357,4069.107178,4069.107178,9353915899
2019-03-29,4068.299805,4113.500977,4034.097168,4098.374512,4098.374512,10918665556
2019-03-30,4092.136230,4296.806641,4053.909668,4106.660156,4106.660156,9732688060
2019-03-31,4105.456055,4113.023438,4094.100830,4105.404297,4105.404297,9045122442
2019-04-01,4105.362305,4164.953125,4096.901367,4158.183105,4158.183105,10157794170
2019-04-02,4156.919434,4905.954590,4155.316895,4879.877930,4879.877930,21315047816
2019-04-03,4879.958008,5307.003418,4876.621094,4973.021973,4973.021973,22899891582
2019-04-04,4971.307617,5063.159668,4836.793945,4922.798828,4922.798828,18251810239
2019-04-05,4922.806152,5053.509766,4919.491699,5036.681152,5036.681152,16837325387
2019-04-06,5036.792969,5205.821777,4992.222168,5059.817383,5059.817383,16929795193
2019-04-07,5062.793945,5235.186523,5050.412109,5198.896973,5198.896973,16655416140
2019-04-08,5199.835449,5318.836426,5148.211914,5289.770996,5289.770996,17154113634
2019-04-09,5289.917969,5289.917969,5167.418945,5204.958496,5204.958496,14722104361
2019-04-10,5204.105469,5421.651367,5193.382324,5324.551758,5324.551758,15504590933
2019-04-11,5325.081543,5354.225586,5017.296387,5064.487793,5064.487793,16555616019
2019-04-12,5061.200684,5103.274414,4955.852539,5089.539063,5089.539063,13675206312
2019-04-13,5088.850098,5127.122070,5061.589355,5096.586426,5096.586426,10823289598
2019-04-14,5095.758789,5184.016113,5053.568359,5167.722168,5167.722168,10391952498
2019-04-15,5167.321777,5196.606934,5024.069336,5067.108398,5067.108398,12290155060
2019-04-16,5066.577637,5238.945313,5055.194824,5235.559570,5235.559570,11618660197
